description,price,details,rating,rate_by,image
"Acer Nitro 5 15.6 inch Full HD Gaming Laptop, Intel Core i5 i5-10300H, 8GB RAM, NVIDIA GeForce GTX 1650 4 GB, 256GB SSD, Windows 10 Home, Obsidian Black, AN515-55-53AG",N/A,Sold & shipped by MichaelElectronics2Free delivery,0.0,N/A,https://e7.pngegg.com/pngimages/807/613/png-clipart-computer-icons-jpeg-sold-out-text-warning-sign-thumbnail.png
"HP 15-CS3079NR Pavilion Laptop, 15.6'', Intel Core i5-1035G1, Intel UHD Graphics, 256GB SSD Storage, 8GB RAM, 15-CS3079NR",N/A,Free delivery,0.0,N/A,https://e7.pngegg.com/pngimages/807/613/png-clipart-computer-icons-jpeg-sold-out-text-warning-sign-thumbnail.png
"Dell Chromebook 11 Laptop Computer CB1C13, 11.6in High Definition Display, Intel Dual-Core Processor, 4GB RAM, 16GB Solid State Drive, Chrome OS, WiFi",N/A,Pro sellerSold & shipped by Blair Technology GroupFree delivery,0.0,N/A,https://e7.pngegg.com/pngimages/807/613/png-clipart-computer-icons-jpeg-sold-out-text-warning-sign-thumbnail.png
"Refurbished Dell 15.6 inch Latitude E6530 Laptop PC with Intel Core i5-3210M Processor, 8GB Memory, 256GB Solid State Drive and Windows 10 Pro",$318.99,Pro sellerSold & shipped by Discount Computer DepotFree delivery,3.8,5 people,https://i5.walmartimages.com/asr/fdd8421b-c468-4dac-af43-9bd64dcf8a78_1.0685bb9944df0e3cefb6f015ff4d2a40.jpeg
Microsoft Surface Laptop3 15 inch Windows Computer Ryzen R5 16GB DDR 256GB SSD Black V9R-00022,N/A,Free delivery,0.0,N/A,https://e7.pngegg.com/pngimages/807/613/png-clipart-computer-icons-jpeg-sold-out-text-warning-sign-thumbnail.png
MP2 - Acer C720-2103 Celeron 2955U Dual-Core 1.4GHz 2GB 16GB SSD 11.6 inch LED Chromebook Chrome OS w/Cam & BT,$109.99,"Pro sellerSold & shipped by ReGadget, LLCFree delivery",2.0,11 people,https://i5.walmartimages.com/asr/617b621b-310b-4eac-8cfa-08da48462d0c_1.d28b1a59d7acca9da780f119986adcff.jpeg
Apple MacBook Air 13.3 Laptop 1.4GHz 4GB RAM 128GB SSD - MD760LL/B - (Certified Refurbished),$449.00,Pro sellerSold & shipped by Wombat ReserveFree delivery,4.5,4 people,https://i5.walmartimages.com/asr/c749b2b9-a507-42db-8cc1-a290dbc49264.5585307395bb7342f926993412ce1cf2.jpeg
Dell Chromebook 11 3180 - Celeron N3060 / 1.6 GHz - Chrome OS - 4 GB RAM - 16 GB eMMC - 11.6 inch 1366 x 768 (HD) - HD Graphics 400 - Wi-Fi - black - BTS - with 1 Year Dell Mail-In Service,$164.98,"Sold & shipped by ASN Depot, Inc.Free delivery",3.6,21 people,https://i5.walmartimages.com/asr/9144f958-fe77-4296-825d-5ee267d87f1a.e3ee6d1261c59e5cd096fd04b66e5e28.jpeg
Certified Refurbished Dell Precision M3800 Intel i7-4702HQ 2.20Ghz 16GB RAM 512GB SSD Win 10 Pro WC,N/A,Sold & shipped by GeekFurbFree delivery,0.0,N/A,https://e7.pngegg.com/pngimages/807/613/png-clipart-computer-icons-jpeg-sold-out-text-warning-sign-thumbnail.png
HP 17.3 inch Touchscreen Laptop Notebook 17-ca0054cl 12GB Memory 1TB Hard Drive AMD A9 PC,N/A,Pro sellerSold & shipped by Alpha DistributionFree delivery,0.0,N/A,https://e7.pngegg.com/pngimages/807/613/png-clipart-computer-icons-jpeg-sold-out-text-warning-sign-thumbnail.png
"HP 14-cf0006dx - Core i3 7100U / 2.4 GHz - Win 10 Home in S mode - 4 GB RAM - 128 GB SSD - 14 inch 1366 x 768 (HD) - HD Graphics 620 - Bluetooth - ash silver keyboard frame, vertical brushed pattern, pale gold (cover and base) - kbd: US",$399.99,Pro sellerSold & shipped by Alpha DistributionFree delivery,5.0,2 people,https://i5.walmartimages.com/asr/02249d5e-d827-4418-a6b1-51e080fecba5_1.ea531e9e9e3e1b740897622662a9a531.jpeg
"HP Pavilion Chromebook 14 inch, Intel Celeron 847, 4GB RAM, 16GB SSD, Chrome OS, 14-c025us",N/A,Sold & shipped by Unlock GadgetFree delivery,0.0,N/A,https://e7.pngegg.com/pngimages/807/613/png-clipart-computer-icons-jpeg-sold-out-text-warning-sign-thumbnail.png
"Asus ZenBook 13 Ultra-Slim Laptop 13.3 Full HD NanoEdge Bezel, Intel Core i7-10510U, 16GB RAM, 512GB PCIe SSD, Innovative Screenpad 2.0, Windows 10 Pro - UX334FLC-AH79, Royal Blue Notebook",N/A,Sold & shipped by MASTERTRONICSFree delivery,0.0,N/A,https://e7.pngegg.com/pngimages/807/613/png-clipart-computer-icons-jpeg-sold-out-text-warning-sign-thumbnail.png
